Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",182.31,-1.55,-0.84%,184.85,181.66,48634613,2024-02-16
ABNB,"Airbnb Inc Cl A",152.51,-5.18,-3.28%,156.1,151.78,6516945,2024-02-16
ADBE,"Adobe Systems Inc",546.66,-43.78,-7.41%,590.14,546.37,10319892,2024-02-16
ADI,"Analog Devices",188.24,0.7,+0.37%,190.52,186.06,4353321,2024-02-16
ADP,"Automatic Data Procs",252.97,0.92,+0.37%,254.35,250.63,2098832,2024-02-16
ADSK,"Autodesk Inc",258.3,-2.95,-1.13%,261.43,257.2,1364423,2024-02-16
AEP,"American Electric Power Company",81.35,-0.01,-0.01%,81.99,80.68,6292665,2024-02-16
AMAT,"Applied Materials",199.57,11.91,+6.35%,206.77,197.3,15409339,2024-02-16
AMD,"Adv Micro Devices",173.87,-2.89,-1.63%,180.33,173.25,53865355,2024-02-16
AMGN,"Amgen Inc",283.7,-5.37,-1.86%,287.71,283.27,3595447,2024-02-16
AMZN,"Amazon.com Inc",169.51,-0.29,-0.17%,170.42,167.17,48050988,2024-02-16
ANSS,"Ansys Inc",329.85,-1.13,-0.34%,334.12,329.61,444297,2024-02-16
ASML,"Asml Holdings NY Reg ADR",928.94,-0.9,-0.10%,948.52,925.73,1159326,2024-02-16
AVGO,"Broadcom Ltd",1245.48,-19.59,-1.55%,1275.68,1242.39,2125978,2024-02-16
AZN,"Astrazeneca Plc ADR",64.27,1.43,+2.28%,64.53,63.6,7585679,2024-02-16
BIIB,"Biogen Inc",219.08,-4.27,-1.91%,221.75,217.53,1767947,2024-02-16
BKNG,"Booking Holdings Inc",3716.84,-33.82,-0.90%,3756.18,3708.97,209467,2024-02-16
BKR,"Baker Hughes Company",29.15,-0.05,-0.17%,29.32,28.94,7397959,2024-02-16
CCEP,"Coca-Cola Europacific Partners Plc",67.6,0.38,+0.57%,67.76,66.62,1384623,2024-02-16
CDNS,"Cadence Design Sys",290.3,-5.37,-1.82%,298.3,289.5,1620726,2024-02-16
CDW,"CDW Corp",241.37,-1.38,-0.57%,244.11,240.54,859670,2024-02-16
CEG,"Constellation Energy Corp",131.16,-0.34,-0.26%,132.66,130.49,1295725,2024-02-16
CHTR,"Charter Communications Inc",293,-1.14,-0.39%,295.4,291.01,2053126,2024-02-16
CMCSA,"Comcast Corp A",41.24,-0.56,-1.34%,41.75,41.16,22572688,2024-02-16
COST,"Costco Wholesale",723.99,-0.52,-0.07%,729.06,718.5,1763937,2024-02-16
CPRT,"Copart Inc",48.96,-0.77,-1.55%,49.77,48.92,3926966,2024-02-16
CRWD,"Crowdstrike Holdings Inc",329.24,-2.14,-0.65%,332.37,325.13,2119767,2024-02-16
CSCO,"Cisco Systems Inc",48.44,-0.62,-1.26%,49.08,48.39,24907904,2024-02-16
CSGP,"Costar Group Inc",81.4,-1.56,-1.88%,82.47,81.32,1720300,2024-02-16
CSX,"CSX Corp",36.72,-0.28,-0.76%,37.02,36.65,12667662,2024-02-16
CTAS,"Cintas Corp",614.66,-6.36,-1.02%,621.78,612.74,339676,2024-02-16
CTSH,"Cognizant Tech Sol",77,-1.02,-1.31%,77.78,76.86,2125709,2024-02-16
DASH,"Doordash Inc Cl A",116.01,-10.26,-8.13%,116.86,109,19459352,2024-02-16
DDOG,"Datadog Inc Cl A",129.74,-2.1,-1.59%,132.48,128.44,4863051,2024-02-16
DLTR,"Dollar Tree Inc",143.37,1.22,+0.86%,145.46,141.41,2642908,2024-02-16
DXCM,"Dexcom Inc",117.05,-0.64,-0.54%,118.81,116.32,3971414,2024-02-16
EA,"Electronic Arts Inc",142.28,-1.77,-1.23%,144.44,142.15,3311071,2024-02-16
EXC,"Exelon Corp",34.91,0.05,+0.14%,35.14,34.43,7830908,2024-02-16
FANG,"Diamondback Energy",179.42,0.9,+0.50%,181.54,178.07,2538477,2024-02-16
FAST,"Fastenal Company",70.24,0.09,+0.13%,70.67,70.05,3083278,2024-02-16
FTNT,"Fortinet Inc",68.48,-1.78,-2.53%,70.08,67.9,4527525,2024-02-16
GEHC,"Ge Healthcare Technologies Inc",86.02,0.39,+0.46%,87.29,83.49,13130170,2024-02-16
GFS,"Globalfoundries Inc",53.38,-0.95,-1.75%,54.35,52.19,2498976,2024-02-16
GILD,"Gilead Sciences Inc",71.58,-1.79,-2.44%,73.09,71.37,12463695,2024-02-16
GOOG,"Alphabet Cl C",141.76,-2.18,-1.51%,144.48,141.52,21837867,2024-02-16
GOOGL,"Alphabet Cl A",140.52,-2.25,-1.58%,143.19,140.14,31398268,2024-02-16
HON,"Honeywell International Inc",197.17,-0.78,-0.39%,198.9,196.45,2330959,2024-02-16
IDXX,"Idexx Laboratories",555.54,-13.29,-2.34%,565.37,555,376839,2024-02-16
ILMN,"Illumina Inc",143.41,-2.66,-1.82%,147.25,142.7,1877718,2024-02-16
INTC,"Intel Corp",43.51,-0.54,-1.23%,44.22,43.12,29722535,2024-02-16
INTU,"Intuit Inc",655.74,-8.54,-1.29%,663,651.12,1336550,2024-02-16
ISRG,"Intuitive Surg Inc",378.63,-1.54,-0.41%,381.15,376,1271940,2024-02-16
KDP,"Keurig Dr Pepper Inc",30.97,-0.12,-0.39%,31.11,30.67,11899490,2024-02-16
KHC,"Kraft Heinz Company",34.81,-0.16,-0.46%,35.15,34.78,6399394,2024-02-16
KLAC,"K L A-Tencor Corp",661.35,8.97,+1.37%,677.47,657.56,1059312,2024-02-16
LRCX,"Lam Research Corp",926.03,12.25,+1.34%,955.99,923.43,1324587,2024-02-16
LULU,"Lululemon Athletica",449.6,-9.38,-2.04%,457.39,445.53,1340660,2024-02-16
MAR,"Marriot Int Cl A",241.63,1.14,+0.47%,243.21,238.3,2118954,2024-02-16
MCHP,"Microchip Technology",81.61,-0.9,-1.09%,83.1,81.08,4054685,2024-02-16
MDB,"Mongodb Inc Cl A",465.06,-9.15,-1.93%,477,464.55,831896,2024-02-16
MDLZ,"Mondelez Intl Inc",71.98,0.37,+0.52%,72.08,71.06,7077657,2024-02-16
