Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",180.75,-0.66999999999999,-0.37%,182.57,179.53,135487661,"16:00 ET"
ABNB,"Airbnb Inc Cl A",157.47,4.04,+2.63%,160,153.22,7985075,"16:00 ET"
ADBE,"Adobe Systems Inc",560.28,8.4599999999999,+1.53%,561.94,553.23,3817475,"16:00 ET"
ADI,"Analog Devices",191.82,4.06,+2.16%,192.29,188.7553,3068290,"16:00 ET"
ADP,"Automatic Data Procs",251.13,-0.43000000000001,-0.17%,253.81,250.16,2780187,"16:00 ET"
ADSK,"Autodesk Inc",258.17,2.92,+1.14%,258.985,255,3145213,"16:00 ET"
AEP,"American Electric Power Company",85.19,1.87,+2.24%,85.22,83.58,10205841,"16:00 ET"
AMAT,"Applied Materials",201.62,4.08,+2.07%,202,197.26,8956137,"16:00 ET"
AMD,"Adv Micro Devices",192.53,15.99,+9.06%,193,179.82,103470334,"16:00 ET"
AMGN,"Amgen Inc",273.83,-3.63,-1.31%,279.825,273.43,5800323,"16:00 ET"
AMZN,"Amazon.com Inc",176.76,3.6,+2.08%,177.22,172.85,53273611,"16:00 ET"
ANSS,"Ansys Inc",334.17,1.08,+0.32%,336.73,332.19,793890,"16:00 ET"
ASML,"Asml Holdings NY Reg ADR",951.68,12.18,+1.30%,952.45,938.42,768643,"16:00 ET"
AVGO,"Broadcom Ltd",1300.49,11.07,+0.86%,1308.395,1287.275,2703040,"16:00 ET"
AZN,"Astrazeneca Plc ADR",64.16,-1.19,-1.82%,65.21,63.74,6027077,"16:00 ET"
BIIB,"Biogen Inc",216.99,-4.75,-2.14%,224,216.7,1901560,"16:00 ET"
BKNG,"Booking Holdings Inc",3468.8301,-26.7998,-0.77%,3515,3451.49,480137,"16:00 ET"
BKR,"Baker Hughes Company",29.59,0.11,+0.37%,29.86,29.37,12746320,"16:00 ET"
CCEP,"Coca-Cola Europacific Partners Plc",68.63,-0.97,-1.39%,69.91,68.45,2849432,"16:00 ET"
CDNS,"Cadence Design Sys",304.38,3.8,+1.26%,305.79,299.86,1669517,"16:00 ET"
CDW,"CDW Corp",246.21,1.3,+0.53%,247.47,243.99,806441,"16:00 ET"
CEG,"Constellation Energy Corp",168.45,-2.38,-1.39%,171.3058,163.37,4252882,"16:00 ET"
CHTR,"Charter Communications Inc",293.93,5.59,+1.94%,294.07,291.33,1705534,"16:00 ET"
CMCSA,"Comcast Corp A",42.85,0.7,+1.66%,42.95,42.44,28542380,"16:00 ET"
COST,"Costco Wholesale",743.89,-4.0700000000001,-0.54%,752.56,742.99,3347228,"16:00 ET"
CPRT,"Copart Inc",53.15,0.07,+0.13%,53.38,52.58,8162010,"16:00 ET"
CRWD,"Crowdstrike Holdings Inc",324.15,3.21,+1.00%,328.98,321.07,3743354,"16:00 ET"
CSCO,"Cisco Systems Inc",48.37,0.31,+0.65%,48.48,48.13,22770425,"16:00 ET"
CSGP,"Costar Group Inc",87.03,0.68000000000001,+0.79%,87.49,85.86,2737737,"16:00 ET"
CSX,"CSX Corp",37.94,0.26,+0.69%,38.1,37.73,14334132,"16:00 ET"
CTAS,"Cintas Corp",628.61,-2.11,-0.33%,633,627.2301,400462,"16:00 ET"
CTSH,"Cognizant Tech Sol",79.02,0.53999999999999,+0.69%,79.7,78.4401,6256709,"16:00 ET"
DASH,"Doordash Inc Cl A",124.57,2.13,+1.74%,124.83,122.71,3362311,"16:00 ET"
DDOG,"Datadog Inc Cl A",131.46,0.99000000000001,+0.76%,134.3024,129.41,5150043,"16:00 ET"
DLTR,"Dollar Tree Inc",146.68,0.54000000000002,+0.37%,147.34,146.07,2523217,"16:00 ET"
DXCM,"Dexcom Inc",115.07,0.84999999999999,+0.74%,115.56,114.03,3548701,"16:00 ET"
EA,"Electronic Arts Inc",139.48,-0.60000000000002,-0.43%,140.64,137.96,3387991,"16:00 ET"
EXC,"Exelon Corp",35.84,0.040000000000006,+0.11%,36.28,35.62,11273756,"16:00 ET"
FANG,"Diamondback Energy",182.52,2.76,+1.54%,182.99,180,2025474,"16:00 ET"
FAST,"Fastenal Company",73.01,-0.55,-0.75%,73.99,72.47,4775751,"16:00 ET"
